Time,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
23.6,-0.356592,-1.103158,2.052951,1.794438,0.0,0.0
23.7,-0.352057,-1.098773,2.039874,1.799088,0.0,0.0
23.8,-0.346562,-1.094625,2.027314,1.803566,0.0,0.0
23.9,-0.340243,-1.090806,2.015437,1.807811,0.0,0.0
24.0,-0.333238,-1.087397,2.004386,1.811764,0.0,0.0
24.1,-0.325686,-1.08447,1.994288,1.815375,0.0,0.0
24.2,-0.317722,-1.082086,1.985248,1.818601,0.0,0.0
24.3,-0.309477,-1.080296,1.977348,1.821404,0.0,0.0
24.4,-0.301079,-1.079137,1.970653,1.823759,0.0,0.0
24.5,-0.292652,-1.078639,1.965205,1.825644,0.0,0.0
24.6,-0.284314,-1.078819,1.961023,1.82705,0.0,0.0
24.7,-0.276177,-1.079681,1.958108,1.827972,0.0,0.0
24.8,-0.268348,-1.081223,1.956439,1.828418,0.0,0.0
24.9,-0.260925,-1.083429,1.955979,1.828402,0.0,0.0
25.0,-0.254002,-1.086275,1.956669,1.827945,0.0,0.0
25.1,-0.247663,-1.089726,1.958434,1.827071,0.0,0.0
25.2,-0.241984,-1.09374,1.961187,1.825819,0.0,0.0
25.3,-0.237032,-1.098268,1.964826,1.824229,0.0,0.0
25.4,-0.232862,-1.103251,1.969235,1.822346,0.0,0.0
25.5,-0.229521,-1.108626,1.974291,1.820218,0.0,0.0
25.6,-0.22704,-1.114324,1.979864,1.817895,0.0,0.0
25.7,-0.225438,-1.120272,1.985816,1.815433,0.0,0.0
25.8,-0.224722,-1.126395,1.992011,1.812883,0.0,0.0
25.9,-0.22488,-1.132615,1.998306,1.8103,0.0,0.0
26.0,-0.225889,-1.138853,2.004567,1.807733,0.0,0.0
26.1,-0.227706,-1.145032,2.01066,1.805235,0.0,0.0
26.2,-0.230276,-1.151077,2.016459,1.802852,0.0,0.0
26.3,-0.233528,-1.156917,2.021849,1.800626,0.0,0.0
26.4,-0.237376,-1.162484,2.026724,1.798596,0.0,0.0
26.5,-0.241726,-1.16772,2.030994,1.796796,0.0,0.0
26.6,-0.246471,-1.172571,2.034581,1.795255,0.0,0.0
26.7,-0.251499,-1.176996,2.037427,1.793993,0.0,0.0
26.8,-0.256694,-1.180961,2.039489,1.793027,0.0,0.0
26.9,-0.261939,-1.184443,2.040741,1.792365,0.0,0.0
27.0,-0.267122,-1.187432,2.041177,1.792009,0.0,0.0
27.1,-0.272135,-1.189928,2.04081,1.791958,0.0,0.0
27.2,-0.27688,-1.191942,2.039665,1.7922,0.0,0.0
27.3,-0.28127,-1.193495,2.037785,1.792718,0.0,0.0
27.4,-0.285233,-1.194619,2.035228,1.793491,0.0,0.0
27.5,-0.288709,-1.195352,2.032062,1.794495,0.0,0.0
27.6,-0.291658,-1.195742,2.028365,1.795701,0.0,0.0
27.7,-0.29405,-1.19584,2.024224,1.797077,0.0,0.0
27.8,-0.295877,-1.195702,2.01973,1.798589,0.0,0.0
27.9,-0.29714,-1.195387,2.014976,1.800202,0.0,0.0
28.0,-0.297857,-1.194953,2.010058,1.80188,0.0,0.0
28.1,-0.298056,-1.19446,2.005066,1.80359,0.0,0.0
28.2,-0.297777,-1.193963,2.000091,1.805297,0.0,0.0
28.3,-0.297068,-1.193517,1.995216,1.806969,0.0,0.0
28.4,-0.295985,-1.19317,1.990516,1.808577,0.0,0.0
28.5,-0.294588,-1.192965,1.986059,1.810095,0.0,0.0
28.6,-0.292942,-1.192941,1.981902,1.8115,0.0,0.0
28.7,-0.291113,-1.193128,1.978092,1.812774,0.0,0.0
28.8,-0.289169,-1.193551,1.974663,1.813903,0.0,0.0
28.9,-0.287177,-1.194225,1.971638,1.814878,0.0,0.0
29.0,-0.285203,-1.19516,1.969029,1.815693,0.0,0.0
29.1,-0.283306,-1.196357,1.966835,1.816348,0.0,0.0
29.2,-0.281544,-1.19781,1.965042,1.816849,0.0,0.0
29.3,-0.27997,-1.199506,1.963627,1.817203,0.0,0.0
29.4,-0.278627,-1.201425,1.962556,1.817424,0.0,0.0
29.5,-0.277553,-1.20354,1.961786,1.817528,0.0,0.0
29.6,-0.276776,-1.205819,1.961264,1.817536,0.0,0.0
29.7,-0.276317,-1.208225,1.960933,1.817469,0.0,0.0
29.8,-0.276185,-1.210718,1.960729,1.817353,0.0,0.0
29.9,-0.27638,-1.213253,1.960584,1.817214,0.0,0.0
