x,y,z
4.149875135332735665e-01,-2.494011353630441394e-02,2.418060200668896154e-01
4.176943387123938090e-01,-2.246336068730185598e-02,2.428093645484949714e-01
4.200211315976386528e-01,-1.970804927394078851e-02,2.438127090301003275e-01
4.219415561513991109e-01,-1.672976691890037601e-02,2.448160535117056835e-01
4.234371330913642706e-01,-1.358621363402942248e-02,2.458193979933110396e-01
4.244973426037773612e-01,-1.033612039526536630e-02,2.468227424749163679e-01
4.251195814090730218e-01,-7.038176638878942959e-03,2.478260869565217239e-01
4.253089781946930992e-01,-3.749985930224888821e-03,2.488294314381270800e-01
4.250780739316615819e-01,-5.270681721189807460e-04,2.498327759197324360e-01
4.244463759328947483e-01,2.578074484091435418e-03,2.508361204013377921e-01
4.234397966519272694e-01,5.516812359199567938e-03,2.518394648829431204e-01
4.220899901246126240e-01,8.245149692491736057e-03,2.528428093645485042e-01
4.204336005919971919e-01,1.072438089331766674e-02,2.538461538461538325e-01
4.185114391838378189e-01,1.292163184960901101e-02,2.548494983277591608e-01
4.163676055686833521e-01,1.481027886137445404e-02,2.558528428093645446e-01
4.140485721736048563e-01,1.637024018305725109e-02,2.568561872909698729e-01
4.116022489362762826e-01,1.758813762816645657e-02,2.578595317725752567e-01
4.090770465721934590e-01,1.845732816650196007e-02,2.588628762541805850e-01
4.065209560246390574e-01,1.897780788267939070e-02,2.598662207357859133e-01
4.039806611249428525e-01,1.915599301987153114e-02,2.608695652173912971e-01
4.015007005418864683e-01,1.900438506210599954e-02,2.618729096989966254e-01
3.991226938635231702e-01,1.854112887228600431e-02,2.628762541806020092e-01
3.968846451590244406e-01,1.778947476502927560e-02,2.638795986622073375e-01
3.948203356437565148e-01,1.677715702128442649e-02,2.648829431438126658e-01
3.929588151528643492e-01,1.553570271801033367e-02,2.658862876254180496e-01
3.913240000556147957e-01,1.409968582866625089e-02,2.668896321070233779e-01
3.899343830555797030e-01,1.250594233205894190e-02,2.678929765886287617e-01
3.888028580629970810e-01,1.079276253718671093e-02,2.688963210702340900e-01
3.879366610389032299e-01,8.999076985028173561e-03,2.698996655518394183e-01
3.873374254394343352e-01,7.163652125596872700e-03,2.709030100334448021e-01
3.870013486759893984e-01,5.324311496832926337e-03,2.719063545150501304e-01
3.869194638940509079e-01,3.517197363514495533e-03,2.729096989966555142e-01
3.870780093995261351e-01,1.776086727342393199e-03,2.739130434782608425e-01
3.874588862625984453e-01,1.317743167091055853e-04,2.749163879598661708e-01
3.880401930377920805e-01,-1.388466365923640439e-03,2.759197324414715546e-01
3.887968251835455802e-01,-2.761334587933329462e-03,2.769230769230769384e-01
3.897011256686643277e-01,-3.967859058519097350e-03,2.779264214046822667e-01
3.907235724350672790e-01,-4.993654276601224712e-03,2.789297658862876506e-01
3.918334878593320303e-01,-5.829073196753795268e-03,2.799331103678929789e-01
3.929997551271147693e-01,-6.469254991569551964e-03,2.809364548494983072e-01
3.941915265062801987e-01,-6.914068825442446810e-03,2.819397993311036910e-01
3.953789088725145340e-01,-7.167956650256511464e-03,2.829431438127090193e-01
3.965336124956522768e-01,-7.239680047546858885e-03,2.839464882943144031e-01
3.976295500208950617e-01,-7.141978035863470395e-03,2.849498327759197314e-01
3.986433737563860880e-01,-6.891144500354464547e-03,2.859531772575250597e-01
3.995549407824043331e-01,-6.506535451242643001e-03,2.869565217391304435e-01
4.003476969987323497e-01,-6.010017649950559829e-03,2.879598662207357718e-01
4.010089729928805191e-01,-5.425371231525735229e-03,2.889632107023411556e-01
4.015301865071687071e-01,-4.777659779900272040e-03,2.899665551839464839e-01
4.019069482692226303e-01,-4.092581863696692808e-03,2.909698996655518122e-01
4.021390699886984166e-01,-3.395818305465764329e-03,2.919732441471571960e-01
4.022304753726423376e-01,-2.712389432666911793e-03,2.929765886287625243e-01
4.021890170324068370e-01,-2.066036246231898414e-03,2.939799331103679081e-01
4.020262041067650394e-01,-1.478638849593791153e-03,2.949832775919732364e-01
4.017568472705388971e-01,-9.696846204162165106e-04,2.959866220735785647e-01
4.013986294996231274e-01,-5.557974968563936117e-04,2.969899665551839485e-01
4.009716124885280286e-01,-2.503384127622135832e-04,2.979933110367892768e-01
4.004976899357772235e-01,-6.308537879778737729e-05,2.989966555183946606e-01
4.000000000000000222e-01,0.000000000000000000e+00,2.999999999999999889e-01
